Question,Answer,topic,split,Question_processed,Question_medical,Answer_processed,Answer_medical,source
What is the outlook for Chiari Malformation ?,"Many people with Type I CM are asymptomatic and do not know they have the condition. Many individuals with the more severe types of CM and have surgery see a reduction in their symptoms and/or prolonged periods of relative stability, although paralysis is generally permanent.",Neurological_Disorders_Stroke,test,outlook chiari malformation,what is the outlook for chiari malformation,many people type asymptomatic know condition many individual severe type surgery see reduction symptom andor prolonged period relative stability although paralysis generally permanent,many people with type i cm are asymptomatic and do not know they have the condition many individuals with the more severe types of cm and have surgery see a reduction in their symptoms andor prolonged periods of relative stability although paralysis is generally permanent,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Chiari Malformation ?,"The NINDS supports research on disorders of the brain and nervous system such as Chiari malformations. The goals of this research are to increase scientific understanding of these disorders and to find ways to prevent, treat, and, ultimately, cure them. Current NINDS-funded research includes studies to better understand the genetic factors responsible for the malformation, and factors that influence the development, progression, and relief of symptoms among people with syringomyelia, including those with Chiari I malformations.",Neurological_Disorders_Stroke,train,research clinical trial done chiari malformation,what research or clinical trials is being done for chiari malformation,ninds support research disorder brain nervous system chiari malformation goal research increase scientific understanding disorder find way prevent treat ultimately cure current nindsfunded research includes study better understand genetic factor responsible malformation factor influence development progression relief symptom among people syringomyelia including chiari malformation,the ninds supports research on disorders of the brain and nervous system such as chiari malformations the goals of this research are to increase scientific understanding of these disorders and to find ways to prevent treat and ultimately cure them current ninds-funded research includes studies to better understand the genetic factors responsible for the malformation and factors that influence the development progression and relief of symptoms among people with syringomyelia including those with chiari i malformations,Neurological_Disorders_and_StrokeQA
What is (are) Absence of the Septum Pellucidum ?,"The septum pellucidum (SP) is a thin membrane located at the midline of the brain between the two cerebral hemispheres, or halves of the brain.. It is connected to the corpus callosum -- a collection of nerve fibers that connect the cerebral hemispherers. This rare abnormality accompanies various malformations of the brain that affect intelligence, behavior, and the neurodevelopmental process, and seizures may occur. Children who are born without this membrane and also have other abnormalities--pituitary deficiencies and abnormal development of the optic disk--have a disorder known as septo-optic dysplasia. More information about this condition can be located at the NINDS Septo-Optic Dysplasia Information Page.",Neurological_Disorders_Stroke,test,absence septum pellucidum,what is are absence of the septum pellucidum,septum pellucidum thin membrane located midline brain two cerebral hemisphere half brain connected corpus callosum collection nerve fiber connect cerebral hemispherers rare abnormality accompanies various malformation brain affect intelligence behavior neurodevelopmental process seizure may occur child born without membrane also abnormalitiespituitary deficiency abnormal development optic diskhave disorder known septooptic dysplasia information condition located ninds septooptic dysplasia information page,the septum pellucidum sp is a thin membrane located at the midline of the brain between the two cerebral hemispheres or halves of the brain it is connected to the corpus callosum -- a collection of nerve fibers that connect the cerebral hemispherers this rare abnormality accompanies various malformations of the brain that affect intelligence behavior and the neurodevelopmental process and seizures may occur children who are born without this membrane and also have other abnormalities--pituitary deficiencies and abnormal development of the optic disk--have a disorder known as septo-optic dysplasia more information about this condition can be located at the ninds septo-optic dysplasia information page,Neurological_Disorders_and_StrokeQA
What are the treatments for Absence of the Septum Pellucidum ?,Absence of the SP alone is not a disorder but is instead a characteristic noted in children with septo-optic dysplasia or other developmental anomalies.,Neurological_Disorders_Stroke,train,treatment absence septum pellucidum,what are the treatments for absence of the septum pellucidum,absence alone disorder instead characteristic noted child septooptic dysplasia developmental anomaly,absence of the sp alone is not a disorder but is instead a characteristic noted in children with septo-optic dysplasia or other developmental anomalies,Neurological_Disorders_and_StrokeQA
What is the outlook for Absence of the Septum Pellucidum ?,"When the absence of the septum pellucidum is part of septo-optic dysplasia, the prognosis varies according to the presence and severity of associated symptoms. By itself, absence of the septum pellucidum is not life-threatening.",Neurological_Disorders_Stroke,train,outlook absence septum pellucidum,what is the outlook for absence of the septum pellucidum,absence septum pellucidum part septooptic dysplasia prognosis varies according presence severity associated symptom absence septum pellucidum lifethreatening,when the absence of the septum pellucidum is part of septo-optic dysplasia the prognosis varies according to the presence and severity of associated symptoms by itself absence of the septum pellucidum is not life-threatening,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Absence of the Septum Pellucidum ?,The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system ad to use that knowledge to reduce the burden of neurological disease. The NINDS conducts and supports a wide range of studies that explore the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and offers hope for new means to treat and prevent developmental brain disorders.,Neurological_Disorders_Stroke,train,research clinical trial done absence septum pellucidum,what research or clinical trials is being done for absence of the septum pellucidum,mission national institute neurological disorder stroke ninds seek fundamental knowledge brain nervous system use knowledge reduce burden neurological disease ninds conduct support wide range study explore complex mechanism normal brain development knowledge gained fundamental study provides foundation understanding process awry offer hope new mean treat prevent developmental brain disorder,the mission of the national institute of neurological disorders and stroke ninds is to seek fundamental knowledge about the brain and nervous system ad to use that knowledge to reduce the burden of neurological disease the ninds conducts and supports a wide range of studies that explore the complex mechanisms of normal brain development the knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and offers hope for new means to treat and prevent developmental brain disorders,Neurological_Disorders_and_StrokeQA
What is (are) Alpers' Disease ?,"Alpers' disease is a progressive, neurodevelopmental, mitochondrial DNA depletion syndrome characterized by three co-occurring clinical symptoms: psychomotor regression (dementia); seizures; and liver disease. It is an autosomal recessive disease caused by mutation in the gene for the mitochondrial DNA polymerase POLG. The disease occurs in about one in 100,000 persons. Most individuals with Alpers' disease do not show symptoms at birth and develop normally for weeks to years before the onset of symptoms. Diagnosis is established by testing for the POLG gene. Symptoms typically occur months before tissue samples show the mitochondrial DNA depletion, so that these depletion studies cannot be used for early diagnosis. About 80 percent of individuals with Alpers' disease develop symptoms in the first two years of life, and 20 percent develop symptoms between ages 2 and 25. The first symptoms of the disorder are usually nonspecific and may include hypoglycemia secondary to underlying liver disease, failure to thrive, infection-associated encephalopathy, spasticity, myoclonus (involuntary jerking of a muscle or group of muscles), seizures, or liver failure. An increased protein level is seen in cerebrospinal fluid analysis. Cortical blindness (loss of vision due to damage to the area of the cortex that controls vision) develops in about 25 percent of cases. Gastrointestinal dysfunction and cardiomyopathy may occur. Dementia is typically episodic and often associated with an infection that occurs while another disease is in process. Seizures may be difficult to control and unrelenting seizures can cause developmental regression as well. ""Alpers-like"" disorders without liver disease are genetically different and have a different clinical course. Fewer than one-third of individuals with the ""Alpers-like"" phenotype without liver disease have POLG mutations.",Neurological_Disorders_Stroke,train,alpers disease,what is are alpers disease,alpers disease progressive neurodevelopmental mitochondrial dna depletion syndrome characterized three cooccurring clinical symptom psychomotor regression dementia seizure liver disease autosomal recessive disease caused mutation gene mitochondrial dna polymerase polg disease occurs one person individual alpers disease show symptom birth develop normally week year onset symptom diagnosis established testing polg gene symptom typically occur month tissue sample show mitochondrial dna depletion depletion study used early diagnosis percent individual alpers disease develop symptom first two year life percent develop symptom age first symptom disorder usually nonspecific may include hypoglycemia secondary underlying liver disease failure thrive infectionassociated encephalopathy spasticity myoclonus involuntary jerking muscle group muscle seizure liver failure increased protein level seen cerebrospinal fluid analysis cortical blindness loss vision due damage area cortex control vision develops percent case gastrointestinal dysfunction cardiomyopathy may occur dementia typically episodic often associated infection occurs another disease process seizure may difficult control unrelenting seizure cause developmental regression well alperslike disorder without liver disease genetically different different clinical course fewer onethird individual alperslike phenotype without liver disease polg mutation,alpers disease is a progressive neurodevelopmental mitochondrial dna depletion syndrome characterized by three co-occurring clinical symptoms psychomotor regression dementia seizures and liver disease it is an autosomal recessive disease caused by mutation in the gene for the mitochondrial dna polymerase polg the disease occurs in about one in 100000 persons most individuals with alpers disease do not show symptoms at birth and develop normally for weeks to years before the onset of symptoms diagnosis is established by testing for the polg gene symptoms typically occur months before tissue samples show the mitochondrial dna depletion so that these depletion studies cannot be used for early diagnosis about 80 percent of individuals with alpers disease develop symptoms in the first two years of life and 20 percent develop symptoms between ages 2 and 25 the first symptoms of the disorder are usually nonspecific and may include hypoglycemia secondary to underlying liver disease failure to thrive infection-associated encephalopathy spasticity myoclonus involuntary jerking of a muscle or group of muscles seizures or liver failure an increased protein level is seen in cerebrospinal fluid analysis cortical blindness loss of vision due to damage to the area of the cortex that controls vision develops in about 25 percent of cases gastrointestinal dysfunction and cardiomyopathy may occur dementia is typically episodic and often associated with an infection that occurs while another disease is in process seizures may be difficult to control and unrelenting seizures can cause developmental regression as well alpers-like disorders without liver disease are genetically different and have a different clinical course fewer than one-third of individuals with the alpers-like phenotype without liver disease have polg mutations,Neurological_Disorders_and_StrokeQA
What are the treatments for Alpers' Disease ?,"There is no cure for Alpers' disease and no way to slow its progression. Treatment is symptomatic and supportive. Anticonvulsants may be used to treat the seizures, but at times the seizures do not respond well to therapy, even at high doses. Therefore, the benefit of seizure control should be weights against what could be excessive sedation from the anticonvulsant.. Valproate should not be used since it can increase the risk of liver failure. Physical therapy may help to relieve spasticity and maintain or increase muscle tone.",Neurological_Disorders_Stroke,train,treatment alpers disease,what are the treatments for alpers disease,cure alpers disease way slow progression treatment symptomatic supportive anticonvulsant may used treat seizure time seizure respond well therapy even high dos therefore benefit seizure control weight could excessive sedation anticonvulsant valproate used since increase risk liver failure physical therapy may help relieve spasticity maintain increase muscle tone,there is no cure for alpers disease and no way to slow its progression treatment is symptomatic and supportive anticonvulsants may be used to treat the seizures but at times the seizures do not respond well to therapy even at high doses therefore the benefit of seizure control should be weights against what could be excessive sedation from the anticonvulsant valproate should not be used since it can increase the risk of liver failure physical therapy may help to relieve spasticity and maintain or increase muscle tone,Neurological_Disorders_and_StrokeQA
What is the outlook for Alpers' Disease ?,"The prognosis for individuals with Alpers' disease is poor. Those with the disease usually die within their first decade of life. Continuous, unrelenting seizures often lead to death. Liver failure and cardiorespiratory failure due to brain, spinal cord, and nerve involvement may also occur.",Neurological_Disorders_Stroke,train,outlook alpers disease,what is the outlook for alpers disease,prognosis individual alpers disease poor disease usually die within first decade life continuous unrelenting seizure often lead death liver failure cardiorespiratory failure due brain spinal cord nerve involvement may also occur,the prognosis for individuals with alpers disease is poor those with the disease usually die within their first decade of life continuous unrelenting seizures often lead to death liver failure and cardiorespiratory failure due to brain spinal cord and nerve involvement may also occur,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Alpers' Disease ?,"The NINDS supports research on gene-linked neurodegenerative disorders such as Alpers' disease. The goals of this research are to increase scientific understanding of these disorders, and to find ways to prevent, treat, and cure them.",Neurological_Disorders_Stroke,train,research clinical trial done alpers disease,what research or clinical trials is being done for alpers disease,ninds support research genelinked neurodegenerative disorder alpers disease goal research increase scientific understanding disorder find way prevent treat cure,the ninds supports research on gene-linked neurodegenerative disorders such as alpers disease the goals of this research are to increase scientific understanding of these disorders and to find ways to prevent treat and cure them,Neurological_Disorders_and_StrokeQA
What is (are) Herpes Zoster Oticus ?,"Herpes zoster oticus, also called Ramsay Hunt Syndrome or Ramsay Hunt Syndrome type II, is a common complication of shingles. Shingles is an infection caused by the varicella-zoster virus, which is the virus that causes chickenpox. Shingles occurs in people who have had chickenpox and represents a reactivation of the dormant varicella-zoster virus. Herpes zoster oticus, which is caused by the spread of the varicella-zoster virus to facial nerves, is characterized by intense ear pain, a rash around the ear, mouth, face, neck, and scalp, and paralysis of facial nerves. Other symptoms may include hearing loss, vertigo (abnormal sensation of movement), and tinnitus (abnormal sounds). Taste loss in the tongue and dry mouth and eyes may also occur.",Neurological_Disorders_Stroke,train,herpes zoster oticus,what is are herpes zoster oticus,herpes zoster oticus also called ramsay hunt syndrome ramsay hunt syndrome type common complication shingle shingle infection caused varicellazoster virus virus cause chickenpox shingle occurs people chickenpox represents reactivation dormant varicellazoster virus herpes zoster oticus caused spread varicellazoster virus facial nerve characterized intense ear pain rash around ear mouth face neck scalp paralysis facial nerve symptom may include hearing loss vertigo abnormal sensation movement tinnitus abnormal sound taste loss tongue dry mouth eye may also occur,herpes zoster oticus also called ramsay hunt syndrome or ramsay hunt syndrome type ii is a common complication of shingles shingles is an infection caused by the varicella-zoster virus which is the virus that causes chickenpox shingles occurs in people who have had chickenpox and represents a reactivation of the dormant varicella-zoster virus herpes zoster oticus which is caused by the spread of the varicella-zoster virus to facial nerves is characterized by intense ear pain a rash around the ear mouth face neck and scalp and paralysis of facial nerves other symptoms may include hearing loss vertigo abnormal sensation of movement and tinnitus abnormal sounds taste loss in the tongue and dry mouth and eyes may also occur,Neurological_Disorders_and_StrokeQA
What are the treatments for Herpes Zoster Oticus ?,"Some cases of herpes zoster oticus do not require treatment. When treatment is needed, medications such as antiviral drugs or corticosteroids may be prescribed. Vertigo may be treated with the drug diazepam",Neurological_Disorders_Stroke,train,treatment herpes zoster oticus,what are the treatments for herpes zoster oticus,case herpes zoster oticus require treatment treatment needed medication antiviral drug corticosteroid may prescribed vertigo may treated drug diazepam,some cases of herpes zoster oticus do not require treatment when treatment is needed medications such as antiviral drugs or corticosteroids may be prescribed vertigo may be treated with the drug diazepam,Neurological_Disorders_and_StrokeQA
What is the outlook for Herpes Zoster Oticus ?,"Generally, the prognosis of herpes zoster oticus is good. However, in some cases, hearing loss may be permanent. Vertigo may last for days or weeks. Facial paralysis may be temporary or permanent.",Neurological_Disorders_Stroke,train,outlook herpes zoster oticus,what is the outlook for herpes zoster oticus,generally prognosis herpes zoster oticus good however case hearing loss may permanent vertigo may last day week facial paralysis may temporary permanent,generally the prognosis of herpes zoster oticus is good however in some cases hearing loss may be permanent vertigo may last for days or weeks facial paralysis may be temporary or permanent,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Herpes Zoster Oticus ?,The NINDS supports research on shingles and shingles-related conditions. Current studies focus on the relationship between the persistence of neurotropic viruses and development of neurological diseases including herpes simplex and varicella-zoster viruses.,Neurological_Disorders_Stroke,test,research clinical trial done herpes zoster oticus,what research or clinical trials is being done for herpes zoster oticus,ninds support research shingle shinglesrelated condition current study focus relationship persistence neurotropic virus development neurological disease including herpes simplex varicellazoster virus,the ninds supports research on shingles and shingles-related conditions current studies focus on the relationship between the persistence of neurotropic viruses and development of neurological diseases including herpes simplex and varicella-zoster viruses,Neurological_Disorders_and_StrokeQA
What is (are) Lambert-Eaton Myasthenic Syndrome ?,"Lambert-Eaton myasthenic syndrome (LEMS) is a disorder of the neuromuscular junction-the site where nerve cells meet muscle cells and help activate the muscles. It is caused by a disruption of electrical impulses between these nerve and muscle cells. LEMS is an autoimmune condition; in such disorders the immune system, which normally protects the body from foreign organisms, mistakenly attacks the body's own tissues. The disruption of electrical impulses is associated with antibodies produced as a consequence of this autoimmunity. Symptoms include muscle weakness, a tingling sensation in the affected areas, fatigue, and dry mouth. LEMS is closely associated with cancer, in particular small cell lung cancer. More than half the individuals diagnosed with LEMS also develop small cell lung cancer. LEMS may appear up to 3 years before cancer is diagnosed.",Neurological_Disorders_Stroke,train,lamberteaton myasthenic syndrome,what is are lambert-eaton myasthenic syndrome,lamberteaton myasthenic syndrome lem disorder neuromuscular junctionthe site nerve cell meet muscle cell help activate muscle caused disruption electrical impulse nerve muscle cell lem autoimmune condition disorder immune system normally protects body foreign organism mistakenly attack body tissue disruption electrical impulse associated antibody produced consequence autoimmunity symptom include muscle weakness tingling sensation affected area fatigue dry mouth lem closely associated cancer particular small cell lung cancer half individual diagnosed lem also develop small cell lung cancer lem may appear year cancer diagnosed,lambert-eaton myasthenic syndrome lems is a disorder of the neuromuscular junction-the site where nerve cells meet muscle cells and help activate the muscles it is caused by a disruption of electrical impulses between these nerve and muscle cells lems is an autoimmune condition in such disorders the immune system which normally protects the body from foreign organisms mistakenly attacks the bodys own tissues the disruption of electrical impulses is associated with antibodies produced as a consequence of this autoimmunity symptoms include muscle weakness a tingling sensation in the affected areas fatigue and dry mouth lems is closely associated with cancer in particular small cell lung cancer more than half the individuals diagnosed with lems also develop small cell lung cancer lems may appear up to 3 years before cancer is diagnosed,Neurological_Disorders_and_StrokeQA
What are the treatments for Lambert-Eaton Myasthenic Syndrome ?,"There is no cure for LEMS. Treatment is directed at decreasing the autoimmune response (through the use of steroids, plasmapheresis, or high-dose intravenous immunoglobulin) or improving the transmission of the disrupted electrical impulses by giving drugs such as di-amino pyridine or pyridostigmine bromide (Mestinon). For patients with small cell lung cancer, treatment of the cancer is the first priority.",Neurological_Disorders_Stroke,train,treatment lamberteaton myasthenic syndrome,what are the treatments for lambert-eaton myasthenic syndrome,cure lem treatment directed decreasing autoimmune response use steroid plasmapheresis highdose intravenous immunoglobulin improving transmission disrupted electrical impulse giving drug diamino pyridine pyridostigmine bromide mestinon patient small cell lung cancer treatment cancer first priority,there is no cure for lems treatment is directed at decreasing the autoimmune response through the use of steroids plasmapheresis or high-dose intravenous immunoglobulin or improving the transmission of the disrupted electrical impulses by giving drugs such as di-amino pyridine or pyridostigmine bromide mestinon for patients with small cell lung cancer treatment of the cancer is the first priority,Neurological_Disorders_and_StrokeQA
